data,estado,nomeCidade,codigo,casos,mortes
2020-11-06,MA,Grajaú,210480,7,51
2020-11-24,BA,Ilhéus,291360,10,255
2020-08-19,MA,Tuntum,211230,9,6
2020-07-30,GO,Padre Bernardo,521560,2,5
2020-03-28,BA,Quixabeira,292593,0,0
2020-10-08,BA,Santa Brígida,292760,0,3
2020-04-10,MA,Boa Vista do Gurupi,210197,0,0
2020-08-05,BA,Sobradinho,293077,1,11
2020-10-03,MA,Poção de Pedras,210890,3,4
2020-04-23,MG,Santo Hipólito,316060,0,0
2020-04-30,MG,Antônio Prado de Minas,310310,0,0
2020-04-16,BA,Santo Antônio de Jesus,292870,0,0
2020-09-06,CE,Jaguaribe,230690,2,31
2020-08-22,MA,Cajapió,210240,0,2
2020-05-21,BA,Dom Macedo Costa,291020,0,0
2020-06-23,GO,Turvelândia,522155,1,0
2020-09-18,BA,Iuiu,291733,0,0
2020-05-06,MG,Ladainha,313700,0,0
2020-10-18,GO,Silvânia,522060,0,2
2020-04-16,BA,Irajuba,291420,0,0
2020-07-09,BA,Ibicaraí,291210,11,3
2020-06-25,BA,Dom Basílio,291010,0,0
2020-06-21,MG,Entre Folhas,312385,0,0
2020-07-03,AM,Tabatinga,130406,16,75
2020-03-28,CE,Alcântaras,230050,0,0
2020-09-02,BA,Sítio do Quinto,293076,0,1
2020-06-12,BA,Serra Dourada,293030,0,0
2020-10-25,BA,Nazaré,292250,0,10
2020-07-07,GO,Corumbaíba,520590,1,1
2020-04-03,ES,Ibatiba,320245,0,0
2020-10-22,MG,Braúnas,310880,0,2
2020-09-30,BA,Queimadas,292580,0,7
2020-10-14,BA,Uruçuca,293270,2,25
2020-06-05,MG,Olímpio Noronha,314550,0,0
2020-07-04,BA,Angical,290140,0,0
2020-07-27,MG,Heliodora,312920,0,0
2020-04-21,MA,Cedral,210310,0,0
2020-12-05,GO,Vila Boa,522220,1,2
2020-08-27,GO,Nova Veneza,521500,45,4
2020-04-28,MG,Vermelho Novo,317115,0,0
2020-08-04,BA,Dário Meira,291000,14,5
2020-08-28,MG,Perdões,314990,3,1
2020-04-04,BA,Lençóis,291930,0,0
2020-04-27,BA,Apuarema,290195,0,0
2020-05-06,BA,Pedrão,292410,0,0
2020-10-10,MA,Carutapera,210290,4,17
2020-08-27,MA,Cedral,210310,0,0
2020-06-15,MG,Lagoa Grande,313753,0,0
2020-05-09,CE,São Gonçalo do Amarante,231240,2,3
2020-06-16,BA,Itabuna,291480,32,42
2020-09-21,BA,Água Fria,290040,0,1
2020-10-17,GO,Buritinópolis,520396,1,0
2020-06-18,MA,Santa Helena,210980,0,2
2020-07-20,MG,Angelândia,310285,0,0
2020-10-29,AM,São Gabriel da Cachoeira,130380,19,58
2020-11-21,GO,Água Fria de Goiás,520017,0,0
2020-11-07,BA,Conde,290860,1,8
2020-09-22,BA,Nilo Peçanha,292260,1,8
2020-09-10,GO,Santa Rosa de Goiás,521950,0,1
2020-03-30,MG,Rubim,315660,0,0
2020-12-07,AL,Quebrangulo,270760,0,4
2020-09-12,CE,São João do Jaguaribe,231250,3,3
2020-08-14,GO,Gameleira de Goiás,520815,0,0
2020-11-10,MA,Cururupu,210370,0,6
2020-11-21,MG,Japonvar,313535,0,1
2020-11-23,MG,Rio Espera,315520,0,2
2020-05-15,GO,Pilar de Goiás,521690,0,0
2020-06-26,AM,Nhamundá,130300,2,4
2020-05-15,GO,Ipiranga de Goiás,521015,0,0
2020-06-02,ES,Baixo Guandu,320080,11,3
2020-07-31,BA,Jacobina,291750,1,4
2020-08-19,MG,Jacinto,313470,8,1
2020-04-25,MG,Coluna,311680,0,0
2020-11-22,MG,Jacinto,313470,0,3
2020-05-16,BA,Teodoro Sampaio,293140,0,0
2020-06-13,MG,Wenceslau Braz,317220,0,0
2020-07-06,MG,Monte Sião,314340,0,2
2020-04-27,AM,Itamarati,130195,0,0
2020-11-12,BA,Macaúbas,291980,3,2
2020-07-06,BA,Presidente Tancredo Neves,292575,10,1
2020-05-12,AP,Serra do Navio,160005,15,0
